序号,园区,所属区域,城市,所属业态,项目分级,项目分类,拟定承建组织,总部重点关注项目,专业,专业分包,项目名称,备注说明,拟定金额,专业细分
1,燕园,华北,北京,独立,一级（最高级）,品质提升,不动产项目部,否,土建设施,土建,参照亮马河、顺义中粮小镇打造燕园北岸景观及沿街商业,一号楼南侧与七号楼北侧打造中心街区,200,土建
2,燕园,华北,北京,独立,一级（最高级）,品质提升,不动产项目部,否,土建设施,土建,2号楼多功能厅全面升级改造,包括地毯、墙面、顶棚及灯光整体老旧升级品质提升,60,土建
3,燕园,华北,北京,独立,一级（最高级）,品质提升,不动产项目部,否,土建设施,土建,7号楼改造成餐厅模式,经营战略,100,土建
4,燕园,华北,北京,独立,二级,品质提升,社区分包,否,土建设施,土建,2号楼活动区域改造,包括教室区、活动区地面墙面升级改造,29,土建
5,燕园,华北,北京,独立,三级,大修,社区分包,否,供配电系统,机电,一期二期楼顶配电箱改造,箱体更换、电气元件更换,20,机电
6,燕园,华北,北京,独立,三级,金额10万以上的常规维修,社区分包,否,供配电系统,机电,一期2、3号配电室更换电容器组,更换电抗器、电容器组,60,机电
7,燕园,华北,北京,独立,三级,大修,社区分包,否,供配电系统,机电,一期二期EPS系统改造,逆变器更换电池更换,25,机电
8,燕园,华北,北京,独立,一级（最高级）,智能化提升,社区分包,否,暖通/供冷系统,机电,一期、三期空调机组改造,BA控制程序编写改造，相关电器元件等升级更换,25,机电
9,燕园,华北,北京,独立,一级（最高级）,节能改造,社区分包,否,暖通/供冷系统,机电,一期两座冷站机组自动化,完善群控系统实现自动控制,12,机电
10,燕园,华北,北京,独立,一级（最高级）,智能化提升,不动产项目部,否,弱电系统,弱电,一期二期三期污水、隔油池水箱液位状态上BA系统,污水泵隔油池状态系统上显示并可报警,50,弱电
11,燕园,华北,北京,独立,一级（最高级）,智能化提升,不动产项目部,否,弱电系统,弱电,拉绳报警融合、BA控制优化等,1、2号楼更换末端设备满足自动巡检,200,弱电
12,燕园,华北,北京,独立,二级,金额10万以上的常规维修,社区分包,否,供排水系统,机电,一号楼两个隔油池改造,更换提升泵、排水管道更换、控制系统更换,10,机电
13,燕园,华北,北京,独立,一级（最高级）,金额10万以上的常规维修,社区分包,否,供排水系统,机电,一期水表改造,一期每月常抄水表增加远传,10,机电
14,燕园,华北,北京,独立,三级,大修,社区分包,否,供排水系统,机电,二期中水主管道改造,二期东组团至西组团地埋中水主管道更换,20,机电
15,燕园,华北,北京,独立,三级,品质提升,社区分包,否,电梯系统,电梯,三期电梯到站提醒改造,每层更换到站钟,10,电梯
16,燕园,华北,北京,独立,三级,节能改造,社区分包,否,供排水系统,机电,一期水景观改造,改造水泵、水管及石材面,20,机电
17,燕园,华北,北京,独立,一级（最高级）,品质提升,不动产项目部,否,其它系统,园林,19号楼四季花厅金桂更换适合环境树种（邀请专家技术把关）,三期会所品质提升,20,园林
18,燕园,华北,北京,独立,二级,品质提升,社区分包,否,其它系统,精装,管家评估室改造,管家评估室改造,10,精装
19,燕园,华北,北京,独立,二级,品质提升,社区分包,否,其它系统,精装,餐厅升级改造,餐厅升级改造,20,精装
20,燕园,华北,北京,护理,三级,品质提升,社区分包,否,其它系统,弱电,可视对讲及人行闸机增加雨棚等,B1、B2层可视对讲呼叫到各楼层护士站等,20,弱电
21,燕园,华北,北京,独立,二级,品质提升,,否,其它系统,精装,房态恢复,房态恢复,45,精装
22,申园,华东,上海,独立,一级（最高级）,品质提升,不动产项目部,否,其它系统,园林,一二期绿化整体提升,针对邱总提出充分利用项目外围市政空间打造高品质的园林及打造深度超体对园区景观进行提升（一期东侧增设垂钓区域及提升勤耕乐园品质、一期西侧莫奈花园打造、二期11号楼后景观绿化提升）,3000,园林
23,申园,华东,上海,独立,一级（最高级）,品质提升,不动产项目部,否,土建设施,土建,一期外墙翻新,根据邱总会议要求对一期各楼栋外立面进行漆面翻新,270,土建
24,申园,华东,上海,独立,一级（最高级）,品质提升,不动产项目部,否,土建设施,土建,一二期桁架广场改造,根据邱总会议意见将打造高档商业场景，同时结合场景改造主入口（门头改造）,265,土建
25,申园,华东,上海,独立,一级（最高级）,品质提升,不动产项目部,否,其它系统,土建,二期体验馆及一期医院走道展陈改造,提升二期体验馆整体形象及一期会所文化长廊改造,85,土建
26,申园,华东,上海,独立,一级（最高级）,运营需求,不动产项目部,否,其它系统,精装,一期KTV、玉兰厅、乐活剧场地毯换新及改造,地毯老旧，常年返潮等原因莫名翘起，增加跌倒风险，灯光，墙面，舞台,113,精装
28,申园,华东,上海,独立,一级（最高级）,运营需求,不动产项目部,否,土建设施,土建,1期外围灌溉系统铺设,因层降造成园林灌溉系统管道损坏，且存在跨路取水情况，需重新铺设,60,土建
